Category: All categories

Day,Apple: (United States)
2019-10-01,47
2019-10-02,45
2019-10-03,46
2019-10-04,48
2019-10-05,57
2019-10-06,59
2019-10-07,47
2019-10-08,48
2019-10-09,47
2019-10-10,46
2019-10-11,47
2019-10-12,57
2019-10-13,57
2019-10-14,48
2019-10-15,46
2019-10-16,44
2019-10-17,44
2019-10-18,43
2019-10-19,53
2019-10-20,52
2019-10-21,44
2019-10-22,43
2019-10-23,41
2019-10-24,41
2019-10-25,42
2019-10-26,49
2019-10-27,47
2019-10-28,46
2019-10-29,46
2019-10-30,45
2019-10-31,42
2019-11-01,46
2019-11-02,56
2019-11-03,53
2019-11-04,44
2019-11-05,43
2019-11-06,41
2019-11-07,42
2019-11-08,43
2019-11-09,50
2019-11-10,48
2019-11-11,46
2019-11-12,45
2019-11-13,47
2019-11-14,49
2019-11-15,51
2019-11-16,53
2019-11-17,53
2019-11-18,45
2019-11-19,45
2019-11-20,46
2019-11-21,46
2019-11-22,47
2019-11-23,55
2019-11-24,58
2019-11-25,53
2019-11-26,56
2019-11-27,71
2019-11-28,92
2019-11-29,100
2019-11-30,70
2019-12-01,58
2019-12-02,65
2019-12-03,51
2019-12-04,44
2019-12-05,49
2019-12-06,48
2019-12-07,49
2019-12-08,48
2019-12-09,45
2019-12-10,45
2019-12-11,44
2019-12-12,43
2019-12-13,45
2019-12-14,49
2019-12-15,51
2019-12-16,46
2019-12-17,46
2019-12-18,44
2019-12-19,44
2019-12-20,47
2019-12-21,53
2019-12-22,55
2019-12-23,54
2019-12-24,58
2019-12-25,87
2019-12-26,76
2019-12-27,61
2019-12-28,56
2019-12-29,51
2019-12-30,48
2019-12-31,47
2020-01-01,45
2020-01-02,46
2020-01-03,45
2020-01-04,46
2020-01-05,45
2020-01-06,42
2020-01-07,41
2020-01-08,40
2020-01-09,41
2020-01-10,40
2020-01-11,43
2020-01-12,42
2020-01-13,39
2020-01-14,39
2020-01-15,39
2020-01-16,38
2020-01-17,39
2020-01-18,42
2020-01-19,40
2020-01-20,41
2020-01-21,39
2020-01-22,37
2020-01-23,37
2020-01-24,39
2020-01-25,40
2020-01-26,36
2020-01-27,35
2020-01-28,37
2020-01-29,38
2020-01-30,36
2020-01-31,36
2020-02-01,39
2020-02-02,38
2020-02-03,33
2020-02-04,36
2020-02-05,35
2020-02-06,35
2020-02-07,36
2020-02-08,39
2020-02-09,40
2020-02-10,35
2020-02-11,35
2020-02-12,36
2020-02-13,35
2020-02-14,36
2020-02-15,39
2020-02-16,39
2020-02-17,38
2020-02-18,37
2020-02-19,36
2020-02-20,35
2020-02-21,35
2020-02-22,38
2020-02-23,38
2020-02-24,37
2020-02-25,36
2020-02-26,35
2020-02-27,37
2020-02-28,37
2020-02-29,39
2020-03-01,39
2020-03-02,37
2020-03-03,39
2020-03-04,36
2020-03-05,35
2020-03-06,36
2020-03-07,39
2020-03-08,36
2020-03-09,38
